source,strain_index,cell_length,CN_C,CN_A,C6_C,C6_A,Edis,material_id,formula,space_group_symbol
CoO_22408_POSCAR,-5,2.0813445750,15.0581,4.4660,118.2863,10.3708,-4.9639236344059E-02,mp-22408,CoO,F-43m
CoO_22408_POSCAR,-4,2.2201008800,12.4668,4.2200,118.2863,10.3708,-4.0190320110698E-02,mp-22408,CoO,F-43m
CoO_22408_POSCAR,-3,2.3588571850,9.4474,4.0928,118.2863,10.3708,-3.3651710845449E-02,mp-22408,CoO,F-43m
CoO_22408_POSCAR,-2,2.4976134900,6.9904,3.9811,118.2863,10.3708,-2.8510990038110E-02,mp-22408,CoO,F-43m
CoO_22408_POSCAR,-1,2.6363697950,5.3956,3.8029,122.6727,10.3708,-2.4558913607134E-02,mp-22408,CoO,F-43m
CoO_22408_POSCAR,0,2.7751261000,4.3151,3.4697,148.0657,10.3708,-2.3733037959563E-02,mp-22408,CoO,F-43m
CoO_22408_POSCAR,1,2.9138824050,3.3887,2.9247,148.0669,10.3708,-2.0895053384302E-02,mp-22408,CoO,F-43m
CoO_22408_POSCAR,2,3.0526387100,2.4904,2.2245,153.9611,10.3773,-1.9706521392518E-02,mp-22408,CoO,F-43m
CoO_22408_POSCAR,3,3.1913950150,1.6917,1.5325,186.4568,11.3464,-2.1823047863618E-02,mp-22408,CoO,F-43m
CoO_22408_POSCAR,4,3.3301513200,1.0844,0.9852,196.9478,12.8210,-2.1610905469769E-02,mp-22408,CoO,F-43m
CoO_22408_POSCAR,5,3.4689076250,0.6769,0.6129,498.3320,13.5427,-4.2807886449518E-02,mp-22408,CoO,F-43m
CoO_22408_POSCAR,6,3.6076639300,0.4223,0.3795,531.6270,14.7086,-4.0076262075597E-02,mp-22408,CoO,F-43m
CoO_22408_POSCAR,7,3.7464202350,0.2674,0.2380,532.6413,15.1821,-3.4623869185627E-02,mp-22408,CoO,F-43m
CoO_22408_POSCAR,8,3.8851765400,0.1731,0.1524,532.7415,15.3316,-2.9750392382175E-02,mp-22408,CoO,F-43m
CoO_22408_POSCAR,9,4.0239328450,0.1150,0.0999,532.7623,15.3883,-2.5750871861862E-02,mp-22408,CoO,F-43m
CoO_22408_POSCAR,10,4.1626891500,0.0783,0.0672,532.7691,15.4143,-2.2509399257395E-02,mp-22408,CoO,F-43m
CoO_22408_POSCAR,11,4.3014454550,0.0547,0.0463,532.7719,15.4279,-1.9835858833158E-02,mp-22408,CoO,F-43m
CoO_22408_POSCAR,12,4.4402017600,0.0391,0.0326,532.7734,15.4357,-1.7582425360129E-02,mp-22408,CoO,F-43m
CoO_22408_POSCAR,13,4.5789580650,0.0286,0.0235,532.7742,15.4405,-1.5645644201200E-02,mp-22408,CoO,F-43m
CoO_22408_POSCAR,14,4.7177143700,0.0213,0.0173,532.7747,15.4436,-1.3947189747671E-02,mp-22408,CoO,F-43m
CoO_22408_POSCAR,15,4.8564706750,0.0162,0.0129,532.7750,15.4457,-1.2420663803544E-02,mp-22408,CoO,F-43m
CoO_22408_POSCAR,16,4.9952269800,0.0125,0.0099,532.7752,15.4471,-1.1026328740820E-02,mp-22408,CoO,F-43m
CoO_22408_POSCAR,17,5.1339832850,0.0098,0.0076,532.7754,15.4481,-9.7519066580345E-03,mp-22408,CoO,F-43m
CoO_22408_POSCAR,18,5.2727395900,0.0077,0.0060,532.7755,15.4488,-8.6027189021407E-03,mp-22408,CoO,F-43m
CoO_22408_POSCAR,19,5.4114958950,0.0062,0.0048,532.7756,15.4494,-7.5871551390988E-03,mp-22408,CoO,F-43m
CoO_22408_POSCAR,20,5.5502522000,0.0051,0.0038,532.7756,15.4498,-6.7069733656903E-03,mp-22408,CoO,F-43m
CoO_22408_POSCAR,21,5.6890085050,0.0042,0.0031,532.7757,15.4501,-5.9520683841843E-03,mp-22408,CoO,F-43m
CoO_22408_POSCAR,22,5.8277648100,0.0035,0.0026,532.7757,15.4503,-5.3035336988132E-03,mp-22408,CoO,F-43m
CoO_22408_POSCAR,23,5.9665211150,0.0029,0.0021,532.7757,15.4505,-4.7416637867511E-03,mp-22408,CoO,F-43m
CoO_22408_POSCAR,24,6.1052774200,0.0025,0.0018,532.7758,15.4507,-4.2472856334071E-03,mp-22408,CoO,F-43m
CoO_22408_POSCAR,25,6.2440337250,0.0021,0.0015,532.7758,15.4508,-3.8065968935271E-03,mp-22408,CoO,F-43m
CoO_22408_POSCAR,26,6.3827900300,0.0018,0.0013,532.7758,15.4509,-3.4088208453004E-03,mp-22408,CoO,F-43m
CoO_22408_POSCAR,27,6.5215463350,0.0016,0.0011,532.7758,15.4510,-3.0490692912063E-03,mp-22408,CoO,F-43m
CoO_22408_POSCAR,28,6.6603026400,0.0014,0.0010,532.7758,15.4510,-2.7233746353508E-03,mp-22408,CoO,F-43m
CoO_22408_POSCAR,29,6.7990589450,0.0012,0.0008,532.7758,15.4511,-2.4290974957632E-03,mp-22408,CoO,F-43m
