source,strain_index,cell_length,CN_C,CN_A,C6_C,C6_A,Edis,material_id,formula,space_group_symbol
FeO_1274279_POSCAR,-5,1.6324860000,18.3541,6.4106,109.5041,10.3708,-1.0456120653289E-01,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,-4,1.7413184000,16.6889,6.1164,109.5041,10.3708,-8.4111069119609E-02,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,-3,1.8501508000,14.1504,5.8106,109.5041,10.3708,-6.9409190777429E-02,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,-2,1.9589832000,10.8704,5.2868,109.5041,10.3708,-5.8095521166544E-02,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,-1,2.0678156000,7.6716,4.4215,109.5041,10.3708,-4.8257062610244E-02,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,0,2.1766480000,5.0917,3.3101,204.9925,10.3708,-6.2974441223708E-02,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,1,2.2854804000,3.2208,2.2276,204.9925,10.3771,-5.4485435965594E-02,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,2,2.3943128000,1.9650,1.3885,204.9926,12.0276,-5.1143995796818E-02,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,3,2.5031452000,1.1780,0.8332,206.8274,12.9654,-4.9164279694960E-02,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,4,2.6119776000,0.7087,0.4972,426.7838,14.1129,-8.6526612433512E-02,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,5,2.7208100000,0.4344,0.3011,489.1443,15.0102,-9.1037526092174E-02,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,6,2.8296424000,0.2735,0.1870,491.0707,15.2810,-8.3075180312127E-02,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,7,2.9384748000,0.1773,0.1195,491.2606,15.3696,-7.3628573524846E-02,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,8,3.0473072000,0.1184,0.0786,491.3007,15.4060,-6.4688192549227E-02,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,9,3.1561396000,0.0812,0.0532,491.3140,15.4237,-5.7068703526822E-02,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,10,3.2649720000,0.0572,0.0369,491.3196,15.4334,-5.0704252689345E-02,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,11,3.3738044000,0.0413,0.0263,491.3225,15.4391,-4.5169459913776E-02,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,12,3.4826368000,0.0304,0.0191,491.3242,15.4427,-4.0102358384550E-02,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,13,3.5914692000,0.0229,0.0142,491.3252,15.4451,-3.5358261537803E-02,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,14,3.7003016000,0.0175,0.0108,491.3259,15.4467,-3.0958300263012E-02,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,15,3.8091340000,0.0136,0.0083,491.3263,15.4478,-2.6983848196267E-02,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,16,3.9179664000,0.0107,0.0065,491.3266,15.4486,-2.3484527282291E-02,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,17,4.0267988000,0.0086,0.0052,491.3269,15.4492,-2.0458773190991E-02,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,18,4.1356312000,0.0070,0.0042,491.3270,15.4496,-1.7861836946821E-02,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,19,4.2444636000,0.0057,0.0034,491.3272,15.4500,-1.5627364730461E-02,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,20,4.3532960000,0.0047,0.0028,491.3273,15.4502,-1.3692536003863E-02,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,21,4.4621284000,0.0039,0.0023,491.3273,15.4504,-1.2005375012390E-02,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,22,4.5709608000,0.0033,0.0020,491.3274,15.4506,-1.0527146195551E-02,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,23,4.6797932000,0.0028,0.0017,491.3274,15.4507,-9.2283258120305E-03,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,24,4.7886256000,0.0024,0.0014,491.3275,15.4508,-8.0879692124265E-03,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,25,4.8974580000,0.0021,0.0012,491.3275,15.4509,-7.0884777478632E-03,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,26,5.0062904000,0.0018,0.0011,491.3275,15.4510,-6.2155760715746E-03,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,27,5.1151228000,0.0016,0.0009,491.3276,15.4510,-5.4540495933548E-03,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,28,5.2239552000,0.0014,0.0008,491.3276,15.4511,-4.7918225829218E-03,mp-1274279,FeO,C2/m
FeO_1274279_POSCAR,29,5.3327876000,0.0012,0.0007,491.3276,15.4511,-4.2163430768720E-03,mp-1274279,FeO,C2/m
