source,strain_index,cell_length,CN_C,CN_A,C6_C,C6_A,Edis,material_id,formula,space_group_symbol
LaMnO3_17554_POSCAR,-5,4.4035725000,35.0940,6.8278,766.0202,10.3708,-3.0035936098508E-01,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,-4,4.6971440000,30.4501,6.1581,766.0202,10.3708,-2.4373095727539E-01,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,-3,4.9907155000,26.7783,5.6060,766.0202,10.3708,-2.0062047740433E-01,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,-2,5.2842870000,23.7327,5.0568,766.0202,10.3708,-1.6669785230305E-01,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,-1,5.5778585000,20.8908,4.5507,766.0202,10.3708,-1.3952927804481E-01,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,0,5.8714300000,17.8261,4.0875,766.0202,10.3708,-1.1788199206333E-01,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,1,6.1650015000,14.3936,3.5885,766.0202,10.3708,-1.0113729955854E-01,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,2,6.4585730000,10.8880,2.9920,766.0202,10.3708,-1.0877960833619E-01,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,3,6.7521445000,7.7676,2.3283,766.0202,10.3736,-9.8720120909468E-02,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,4,7.0457160000,5.2909,1.6896,766.0202,10.7602,-9.3274418856007E-02,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,5,7.3392875000,3.4813,1.1565,766.2061,12.6585,-9.0292315782825E-02,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,6,7.6328590000,2.2428,0.7606,1587.7660,13.0857,-1.2744977370512E-01,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,7,7.9264305000,1.4365,0.4907,1850.5835,14.1475,-1.7745310578213E-01,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,8,8.2200020000,0.9267,0.3162,3153.4749,14.9597,-2.1814987603171E-01,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,9,8.5135735000,0.6073,0.2060,3981.0491,15.2478,-2.2217590219863E-01,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,10,8.8071450000,0.4062,0.1366,3990.1918,15.3509,-1.9595635278233E-01,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,11,9.1007165000,0.2776,0.0924,3990.5592,15.3949,-1.7185013217983E-01,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,12,9.3942880000,0.1939,0.0639,3990.6013,15.4166,-1.5057659732302E-01,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,13,9.6878595000,0.1383,0.0451,3990.6105,15.4287,-1.3194172609247E-01,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,14,9.9814310000,0.1006,0.0325,3990.6135,15.4358,-1.1555687962586E-01,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,15,10.2750025000,0.0746,0.0238,3990.6147,15.4404,-1.0106249093942E-01,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,16,10.5685740000,0.0562,0.0178,3990.6153,15.4433,-8.8229963620993E-02,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,17,10.8621455000,0.0430,0.0135,3990.6157,15.4454,-7.6904789291446E-02,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,18,11.1557170000,0.0334,0.0104,3990.6159,15.4468,-6.6964332034993E-02,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,19,11.4492885000,0.0263,0.0082,3990.6160,15.4479,-5.8304118770378E-02,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,20,11.7428600000,0.0210,0.0065,3990.6161,15.4486,-5.0795618709864E-02,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,21,12.0364315000,0.0169,0.0052,3990.6162,15.4492,-4.4312635724438E-02,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,22,12.3300030000,0.0138,0.0042,3990.6162,15.4496,-3.8710633798343E-02,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,23,12.6235745000,0.0113,0.0035,3990.6163,15.4499,-3.3866431586716E-02,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,24,12.9171460000,0.0094,0.0029,3990.6163,15.4502,-2.9672297814453E-02,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,25,13.2107175000,0.0079,0.0024,3990.6163,15.4504,-2.6029860098332E-02,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,26,13.5042890000,0.0066,0.0020,3990.6163,15.4506,-2.2858262224057E-02,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,27,13.7978605000,0.0057,0.0017,3990.6163,15.4507,-2.0095134015645E-02,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,28,14.0914320000,0.0048,0.0015,3990.6164,15.4508,-1.7684272479376E-02,mp-17554,LaMnO3,Pnma
LaMnO3_17554_POSCAR,29,14.3850035000,0.0041,0.0013,3990.6164,15.4509,-1.5578059129683E-02,mp-17554,LaMnO3,Pnma
