source,strain_index,cell_length,CN_C,CN_A,C6_C,C6_A,Edis,material_id,formula,space_group_symbol
RuO2_825_POSCAR,-5,2.3335060500,17.6502,4.3726,239.0071,10.3708,-9.9784719700622E-02,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,-4,2.4890731200,15.0335,3.6358,239.0071,10.3708,-8.1394056211194E-02,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,-3,2.6446401900,12.4909,3.3089,239.0071,10.3708,-6.8025468073797E-02,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,-2,2.8002072600,10.2413,3.1491,239.0071,10.3708,-5.7891974463476E-02,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,-1,2.9557743300,8.5361,3.0429,239.0071,10.3708,-4.9979972487266E-02,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,0,3.1113414000,7.2838,2.9212,239.0071,10.3708,-4.3862516239284E-02,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,1,3.2669084700,6.2662,2.7221,239.0071,10.3709,-3.8937008147080E-02,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,2,3.4224755400,5.2575,2.3947,379.0325,10.3725,-4.7042866803131E-02,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,3,3.5780426100,4.1500,1.9391,379.2655,10.4326,-4.1517765637953E-02,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,4,3.7336096800,3.0280,1.4326,379.2655,11.8283,-3.7300836804645E-02,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,5,3.8891767500,2.0609,0.9801,379.2655,12.8249,-3.2853820517233E-02,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,6,4.0447438200,1.3424,0.6390,379.6485,13.4371,-2.8664832845023E-02,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,7,4.2003108900,0.8597,0.4086,532.9474,14.5731,-3.1992680697346E-02,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,8,4.3558779600,0.5519,0.2615,597.2536,15.1250,-3.0520802818924E-02,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,9,4.5114450300,0.3592,0.1696,598.1447,15.3079,-2.7066913506189E-02,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,10,4.6670121000,0.2384,0.1121,598.1898,15.3770,-2.4338299064155E-02,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,11,4.8225791700,0.1617,0.0757,598.1959,15.4082,-2.2204080153950E-02,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,12,4.9781462400,0.1121,0.0522,598.1974,15.4243,-2.0434893098230E-02,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,13,5.1337133100,0.0794,0.0368,598.1980,15.4334,-1.8808513239172E-02,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,14,5.2892803800,0.0574,0.0265,598.1982,15.4390,-1.7183957458162E-02,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,15,5.4448474500,0.0423,0.0195,598.1983,15.4425,-1.5534208545284E-02,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,16,5.6004145200,0.0317,0.0145,598.1984,15.4449,-1.3912799746882E-02,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,17,5.7559815900,0.0242,0.0110,598.1984,15.4466,-1.2397116642251E-02,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,18,5.9115486600,0.0187,0.0085,598.1985,15.4477,-1.1038416293259E-02,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,19,6.0671157300,0.0147,0.0067,598.1985,15.4485,-9.8523488012834E-03,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,20,6.2226828000,0.0117,0.0053,598.1985,15.4491,-8.8234041347818E-03,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,21,6.3782498700,0.0094,0.0043,598.1985,15.4496,-7.9226343531473E-03,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,22,6.5338169400,0.0077,0.0035,598.1985,15.4499,-7.1197595318433E-03,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,23,6.6893840100,0.0063,0.0028,598.1985,15.4502,-6.3921301359094E-03,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,24,6.8449510800,0.0052,0.0024,598.1985,15.4504,-5.7256752510226E-03,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,25,7.0005181500,0.0043,0.0020,598.1985,15.4506,-5.1142797040120E-03,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,26,7.1560852200,0.0037,0.0017,598.1985,15.4507,-4.5552475153519E-03,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,27,7.3116522900,0.0031,0.0014,598.1985,15.4508,-4.0485206297081E-03,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,28,7.4672193600,0.0027,0.0012,598.1985,15.4509,-3.5928034808758E-03,mp-825,RuO2,P4_2/mnm
RuO2_825_POSCAR,29,7.6227864300,0.0023,0.0010,598.1985,15.4510,-3.1852284737474E-03,mp-825,RuO2,P4_2/mnm
