source,strain_index,cell_length,CN_C,CN_A,C6_C,C6_A,Edis,material_id,formula,space_group_symbol
SrTiO3_4651_POSCAR,-5,3.5870326275,39.7104,7.3147,491.7448,10.3708,-1.7830322422289E-01,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,-4,3.8261681360,34.3662,6.5976,491.7448,10.3708,-1.4582646161009E-01,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,-3,4.0653036445,30.4836,6.2624,491.7448,10.3708,-1.1816081718700E-01,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,-2,4.3044391530,27.8955,6.0358,491.7448,10.3708,-9.6216689424170E-02,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,-1,4.5435746615,25.8288,5.7635,491.7448,10.3708,-7.9374856392428E-02,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,0,4.7827101700,23.3611,5.3379,491.7448,10.3708,-6.6574021331774E-02,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,1,5.0218456785,19.8989,4.7213,491.7448,10.3708,-5.6856458932336E-02,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,2,5.2609811870,15.5310,3.9633,491.7448,10.3708,-4.9578612133281E-02,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,3,5.5001166955,11.0371,3.1530,491.7448,10.3708,-4.4445741638163E-02,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,4,5.7392522040,7.2771,2.3741,491.7448,10.3728,-4.1185118160257E-02,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,5,5.9783877125,4.5974,1.6925,491.7448,10.7529,-3.9600800149966E-02,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,6,6.2175232210,2.8669,1.1508,491.7683,12.6662,-3.9532677616849E-02,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,7,6.4566587295,1.8001,0.7584,559.2256,13.0901,-3.8804461742180E-02,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,8,6.6957942380,1.1498,0.4937,2063.8375,14.1316,-6.6189041292101E-02,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,9,6.9349297465,0.7512,0.3223,2407.8441,14.9385,-8.5755151072078E-02,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,10,7.1740652550,0.5027,0.2130,2786.8635,15.2345,-1.0051224072847E-01,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,11,7.4132007635,0.3444,0.1434,3098.8216,15.3429,-9.2975177968623E-02,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,12,7.6523362720,0.2411,0.0984,3234.3475,15.3897,-8.2848289667848E-02,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,13,7.8914717805,0.1726,0.0689,3290.3320,15.4131,-7.3138216060715E-02,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,14,8.1306072890,0.1258,0.0492,3316.6132,15.4262,-6.4538542457830E-02,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,15,8.3697427975,0.0935,0.0358,3330.4200,15.4340,-5.6962554999101E-02,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,16,8.6088783060,0.0707,0.0266,3338.4322,15.4390,-5.0203558233262E-02,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,17,8.8480138145,0.0541,0.0200,3343.4899,15.4423,-4.4125584659279E-02,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,18,9.0871493230,0.0420,0.0153,3346.8033,15.4445,-3.8638317944508E-02,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,19,9.3262848315,0.0331,0.0119,3349.0696,15.4462,-3.3731507465339E-02,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,20,9.5654203400,0.0264,0.0094,3350.6641,15.4473,-2.9392629624683E-02,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,21,9.8045558485,0.0213,0.0075,3351.8404,15.4482,-2.5617731928625E-02,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,22,10.0436913570,0.0174,0.0060,3352.7067,15.4488,-2.2364192466600E-02,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,23,10.2828268655,0.0143,0.0049,3353.3695,15.4493,-1.9571499110647E-02,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,24,10.5219623740,0.0119,0.0040,3353.8939,15.4497,-1.7183046781488E-02,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,25,10.7610978825,0.0099,0.0033,3354.2951,15.4500,-1.5135386442087E-02,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,26,11.0002333910,0.0084,0.0028,3354.6100,15.4502,-1.3361524577975E-02,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,27,11.2393688995,0.0071,0.0024,3354.8787,15.4504,-1.1822788121981E-02,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,28,11.4785044080,0.0061,0.0020,3355.0819,15.4506,-1.0476135514334E-02,mp-4651,SrTiO3,I4/mcm
SrTiO3_4651_POSCAR,29,11.7176399165,0.0052,0.0017,3355.2567,15.4507,-9.2906903084079E-03,mp-4651,SrTiO3,I4/mcm
