source,strain_index,cell_length,CN_C,CN_A,C6_C,C6_A,Edis,material_id,formula,space_group_symbol
TiO2_390_POSCAR,-5,2.6607872325,16.5162,4.1679,321.5890,10.3708,-8.2563974143842E-02,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,-4,2.8381730480,14.3786,3.5418,321.5890,10.3708,-7.0678907412274E-02,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,-3,3.0155588635,12.7717,3.2683,321.5890,10.3708,-6.0731984993077E-02,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,-2,3.1929446790,11.4516,3.1394,321.5890,10.3708,-5.1644480855681E-02,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,-1,3.3703304945,10.3744,3.0667,321.5890,10.3708,-4.3503238938340E-02,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,0,3.5477163100,9.3530,3.0044,321.5890,10.3708,-3.6762886167463E-02,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,1,3.7251021255,8.2603,2.9154,321.5890,10.3708,-3.1445905437397E-02,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,2,3.9024879410,7.1243,2.7573,321.5890,10.3709,-2.7145845745748E-02,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,3,4.0798737565,5.9757,2.4880,321.5890,10.3716,-2.3467479569949E-02,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,4,4.2572595720,4.7950,2.0951,321.5890,10.3889,-2.0313246718629E-02,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,5,4.4346453875,3.6183,1.6258,321.5889,10.9569,-1.8025953248751E-02,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,6,4.6120312030,2.5639,1.1688,302.1754,12.6410,-1.5906423799633E-02,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,7,4.7894170185,1.7327,0.7948,302.0027,13.0225,-1.4198933358118E-02,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,8,4.9668028340,1.1419,0.5244,324.1375,13.9684,-1.3443759476531E-02,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,9,5.1441886495,0.7483,0.3431,1244.5691,14.8610,-3.3191634608617E-02,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,10,5.3215744650,0.4938,0.2257,1358.7768,15.2090,-3.1489383443604E-02,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,11,5.4989602805,0.3307,0.1505,1361.6293,15.3340,-2.7719665766715E-02,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,12,5.6763460960,0.2255,0.1021,1361.8565,15.3864,-2.4553361691250E-02,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,13,5.8537319115,0.1568,0.0707,1361.8958,15.4119,-2.2026788463281E-02,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,14,6.0311177270,0.1112,0.0498,1361.9069,15.4258,-2.0011205705232E-02,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,15,6.2085035425,0.0804,0.0358,1361.9111,15.4340,-1.8332033808315E-02,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,16,6.3858893580,0.0591,0.0262,1361.9131,15.4391,-1.6833782102518E-02,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,17,6.5632751735,0.0442,0.0195,1361.9141,15.4425,-1.5408137849484E-02,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,18,6.7406609890,0.0336,0.0147,1361.9148,15.4448,-1.4010925297710E-02,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,19,6.9180468045,0.0259,0.0113,1361.9152,15.4464,-1.2650357108502E-02,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,20,7.0954326200,0.0202,0.0088,1361.9154,15.4476,-1.1362661659890E-02,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,21,7.2728184355,0.0160,0.0070,1361.9156,15.4484,-1.0180862719637E-02,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,22,7.4502042510,0.0128,0.0055,1361.9157,15.4490,-9.1258703127094E-03,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,23,7.6275900665,0.0104,0.0045,1361.9158,15.4495,-8.2009710671005E-03,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,24,7.8049758820,0.0085,0.0036,1361.9159,15.4499,-7.3923112539140E-03,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,25,7.9823616975,0.0070,0.0030,1361.9160,15.4501,-6.6797723997095E-03,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,26,8.1597475130,0.0058,0.0025,1361.9160,15.4504,-6.0449638680316E-03,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,27,8.3371333285,0.0049,0.0021,1361.9160,15.4505,-5.4706676656621E-03,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,28,8.5145191440,0.0041,0.0018,1361.9161,15.4507,-4.9463262428034E-03,mp-390,TiO2,I4_1/amd
TiO2_390_POSCAR,29,8.6919049595,0.0035,0.0015,1361.9161,15.4508,-4.4646575753396E-03,mp-390,TiO2,I4_1/amd
