source,strain_index,cell_length,CN_C,CN_A,C6_C,C6_A,Edis,material_id,formula,space_group_symbol
NiO_19009_POSCAR,-5,1.9226989350,18.4330,6.5896,128.7820,10.3708,-3.5958643899869E-02,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,-4,2.0508788640,16.7735,6.2340,128.7820,10.3708,-2.8902478501173E-02,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,-3,2.1790587930,14.3087,5.9642,128.7820,10.3708,-2.3613816258653E-02,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,-2,2.3072387220,11.1819,5.5627,128.7828,10.3708,-1.9787499505848E-02,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,-1,2.4354186510,8.1545,4.8468,129.1317,10.3708,-1.6620030121314E-02,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,0,2.5635985800,5.6105,3.7841,139.6350,10.3708,-1.4595037143669E-02,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,1,2.6917785090,3.6147,2.6124,178.3311,10.3711,-1.4879377838606E-02,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,2,2.8199584380,2.2049,1.6414,178.3311,10.9033,-1.3365323713024E-02,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,3,2.9481383670,1.3126,0.9842,179.0019,12.8218,-1.2873552110004E-02,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,4,3.0763182960,0.7843,0.5855,490.3590,13.6644,-2.8077484830295E-02,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,5,3.2044982250,0.4784,0.3534,573.4377,14.8198,-3.1085805072792E-02,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,6,3.3326781540,0.3001,0.2188,574.6422,15.2231,-2.8909958646467E-02,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,7,3.4608580830,0.1940,0.1394,574.7215,15.3476,-2.5973312012479E-02,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,8,3.5890380120,0.1292,0.0915,574.7349,15.3957,-2.2932488546617E-02,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,9,3.7172179410,0.0885,0.0617,574.7387,15.4181,-2.0223840455408E-02,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,10,3.8453978700,0.0621,0.0427,574.7403,15.4300,-1.7968599069998E-02,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,11,3.9735777990,0.0447,0.0303,574.7410,15.4370,-1.6072561249833E-02,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,12,4.1017577280,0.0329,0.0221,574.7414,15.4413,-1.4384054801380E-02,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,13,4.2299376570,0.0247,0.0164,574.7417,15.4440,-1.2799001447523E-02,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,14,4.3581175860,0.0188,0.0123,574.7418,15.4459,-1.1292115814609E-02,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,15,4.4862975150,0.0147,0.0095,574.7419,15.4473,-9.8898454170141E-03,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,16,4.6144774440,0.0115,0.0074,574.7420,15.4482,-8.6262649536008E-03,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,17,4.7426573730,0.0092,0.0058,574.7420,15.4489,-7.5203550953784E-03,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,18,4.8708373020,0.0075,0.0047,574.7421,15.4494,-6.5683818935144E-03,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,19,4.9990172310,0.0061,0.0038,574.7421,15.4498,-5.7527976723945E-03,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,20,5.1271971600,0.0051,0.0032,574.7421,15.4501,-5.0509351018644E-03,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,21,5.2553770890,0.0042,0.0026,574.7421,15.4503,-4.4407190432971E-03,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,22,5.3835570180,0.0036,0.0022,574.7422,15.4505,-3.9052159727112E-03,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,23,5.5117369470,0.0030,0.0019,574.7422,15.4506,-3.4329937930398E-03,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,24,5.6399168760,0.0026,0.0016,574.7422,15.4508,-3.0167473761531E-03,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,25,5.7680968050,0.0022,0.0014,574.7422,15.4508,-2.6497688457663E-03,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,26,5.8962767340,0.0019,0.0012,574.7422,15.4509,-2.3274223733929E-03,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,27,6.0244566630,0.0017,0.0010,574.7422,15.4510,-2.0450926361612E-03,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,28,6.1526365920,0.0015,0.0009,574.7422,15.4510,-1.7985901661047E-03,mp-19009,NiO,Fm-3m
NiO_19009_POSCAR,29,6.2808165210,0.0013,0.0008,574.7422,15.4511,-1.5840417653471E-03,mp-19009,NiO,Fm-3m
